series_id,year,period,value,footnote_codes
CUURA100AA0,1977,M12,100.0,
CUURA100AA0,1978,M02,101.0,
CUURA100AA0,1978,M04,102.3,
CUURA100AA0,1978,M06,104.0,
CUURA100AA0,1978,M08,104.9,
CUURA100AA0,1978,M10,106.3,
CUURA100AA0,1978,M12,107.4,
CUURA100AA0,1978,M13,104.0,
CUURA100AA0,1979,M02,109.1,
CUURA100AA0,1979,M04,110.8,
CUURA100AA0,1979,M06,113.2,
CUURA100AA0,1979,M08,115.0,
CUURA100AA0,1979,M10,117.3,
CUURA100AA0,1979,M12,119.0,
CUURA100AA0,1979,M13,113.6,
CUURA100AA0,1980,M02,122.1,
CUURA100AA0,1980,M04,125.0,
CUURA100AA0,1980,M06,127.1,
CUURA100AA0,1980,M08,129.1,
CUURA100AA0,1980,M10,130.5,
CUURA100AA0,1980,M12,132.8,
CUURA100AA0,1980,M13,127.2,
CUURA100AA0,1981,M02,135.7,
CUURA100AA0,1981,M04,137.3,
CUURA100AA0,1981,M06,139.1,
CUURA100AA0,1981,M08,142.1,
CUURA100AA0,1981,M10,143.8,
CUURA100AA0,1981,M12,144.2,
CUURA100AA0,1981,M13,139.9,
CUURA100AA0,1982,M02,144.2,
CUURA100AA0,1982,M04,143.6,
CUURA100AA0,1982,M06,147.7,
CUURA100AA0,1982,M08,149.0,
CUURA100AA0,1982,M10,151.8,
CUURA100AA0,1982,M12,151.0,
CUURA100AA0,1982,M13,147.6,
CUURA100AA0,1983,M02,151.8,
CUURA100AA0,1983,M04,153.1,
CUURA100AA0,1983,M06,153.9,
CUURA100AA0,1983,M08,155.0,
CUURA100AA0,1983,M10,156.5,
CUURA100AA0,1983,M12,157.2,
CUURA100AA0,1983,M13,154.3,
CUURA100AA0,1984,M02,159.5,
CUURA100AA0,1984,M04,160.7,
CUURA100AA0,1984,M06,161.2,
CUURA100AA0,1984,M08,162.6,
CUURA100AA0,1984,M10,163.5,
CUURA100AA0,1984,M12,164.3,
CUURA100AA0,1984,M13,161.7,
CUURA100AA0,1985,M02,165.5,
CUURA100AA0,1985,M04,166.7,
CUURA100AA0,1985,M06,167.5,
CUURA100AA0,1985,M08,168.5,
CUURA100AA0,1985,M10,169.6,
CUURA100AA0,1985,M12,171.2,
CUURA100AA0,1985,M13,167.9,
CUURA100AA0,1986,M02,171.8,
CUURA100AA0,1986,M04,171.0,
CUURA100AA0,1986,M06,171.8,
CUURA100AA0,1986,M08,173.1,
CUURA100AA0,1986,M10,174.2,
CUURA100AA0,1986,M12,174.7,
CUURA100AA0,1986,M13,172.6,
CUURA100AA0,1987,M01,176.1,
CUURA100AA0,1987,M02,176.8,
CUURA100AA0,1987,M03,177.5,
CUURA100AA0,1987,M04,178.8,
CUURA100AA0,1987,M05,179.5,
CUURA100AA0,1987,M06,180.5,
CUURA100AA0,1987,M07,180.7,
CUURA100AA0,1987,M08,182.1,
CUURA100AA0,1987,M09,183.5,
CUURA100AA0,1987,M10,184.1,
CUURA100AA0,1987,M11,184.3,
CUURA100AA0,1987,M12,184.5,
CUURA100AA0,1987,M13,180.7,
CUURA100AA0,1988,M01,185.4,
CUURA100AA0,1988,M02,185.3,
CUURA100AA0,1988,M03,186.1,
CUURA100AA0,1988,M04,187.4,
CUURA100AA0,1988,M05,187.8,
CUURA100AA0,1988,M06,188.5,
CUURA100AA0,1988,M07,189.5,
CUURA100AA0,1988,M08,190.7,
CUURA100AA0,1988,M09,192.9,
CUURA100AA0,1988,M10,193.1,
CUURA100AA0,1988,M11,193.3,
CUURA100AA0,1988,M12,193.6,
CUURA100AA0,1988,M13,189.5,
CUURA100AA0,1989,M01,194.8,
CUURA100AA0,1989,M02,195.5,
CUURA100AA0,1989,M03,196.9,
CUURA100AA0,1989,M04,197.7,
CUURA100AA0,1989,M05,198.9,
CUURA100AA0,1989,M06,199.4,
CUURA100AA0,1989,M07,199.8,
CUURA100AA0,1989,M08,200.1,
CUURA100AA0,1989,M09,201.8,
CUURA100AA0,1989,M10,202.6,
CUURA100AA0,1989,M11,203.3,
CUURA100AA0,1989,M12,203.4,
CUURA100AA0,1989,M13,199.5,
CUURA100AA0,1990,M01,205.9,
CUURA100AA0,1990,M02,206.4,
CUURA100AA0,1990,M03,208.1,
CUURA100AA0,1990,M04,209.2,
CUURA100AA0,1990,M05,209.2,
CUURA100AA0,1990,M06,209.2,
CUURA100AA0,1990,M07,211.2,
CUURA100AA0,1990,M08,213.3,
CUURA100AA0,1990,M09,214.9,
CUURA100AA0,1990,M10,216.2,
CUURA100AA0,1990,M11,216.5,
CUURA100AA0,1990,M12,216.6,
CUURA100AA0,1990,M13,211.4,
CUURA100AA0,1991,M01,218.3,
CUURA100AA0,1991,M02,218.8,
CUURA100AA0,1991,M03,218.8,
CUURA100AA0,1991,M04,219.2,
CUURA100AA0,1991,M05,219.6,
