series_id,year,period,value,footnote_codes
CUURA300AA0,1977,M12,100.0,
CUURA300AA0,1978,M02,101.2,
CUURA300AA0,1978,M04,102.7,
CUURA300AA0,1978,M06,104.8,
CUURA300AA0,1978,M08,106.4,
CUURA300AA0,1978,M10,107.8,
CUURA300AA0,1978,M12,109.2,
CUURA300AA0,1978,M13,105.0,
CUURA300AA0,1979,M02,111.3,
CUURA300AA0,1979,M04,113.5,
CUURA300AA0,1979,M06,116.9,
CUURA300AA0,1979,M08,118.7,
CUURA300AA0,1979,M10,120.7,
CUURA300AA0,1979,M12,123.1,
CUURA300AA0,1979,M13,116.8,
CUURA300AA0,1980,M02,127.1,
CUURA300AA0,1980,M04,130.7,
CUURA300AA0,1980,M06,133.5,
CUURA300AA0,1980,M08,134.8,
CUURA300AA0,1980,M10,136.7,
CUURA300AA0,1980,M12,139.0,
CUURA300AA0,1980,M13,133.0,
CUURA300AA0,1981,M02,142.1,
CUURA300AA0,1981,M04,144.1,
CUURA300AA0,1981,M06,146.2,
CUURA300AA0,1981,M08,148.2,
CUURA300AA0,1981,M10,150.9,
CUURA300AA0,1981,M12,152.0,
CUURA300AA0,1981,M13,146.7,
CUURA300AA0,1982,M02,152.6,
CUURA300AA0,1982,M04,152.9,
CUURA300AA0,1982,M06,156.3,
CUURA300AA0,1982,M08,156.9,
CUURA300AA0,1982,M10,158.1,
CUURA300AA0,1982,M12,157.5,
CUURA300AA0,1982,M13,155.5,
CUURA300AA0,1983,M02,158.0,
CUURA300AA0,1983,M04,159.1,
CUURA300AA0,1983,M06,161.2,
CUURA300AA0,1983,M08,162.4,
CUURA300AA0,1983,M10,163.3,
CUURA300AA0,1983,M12,163.5,
CUURA300AA0,1983,M13,161.0,
CUURA300AA0,1984,M02,165.7,
CUURA300AA0,1984,M04,166.3,
CUURA300AA0,1984,M06,167.6,
CUURA300AA0,1984,M08,168.7,
CUURA300AA0,1984,M10,170.2,
CUURA300AA0,1984,M12,170.3,
CUURA300AA0,1984,M13,167.8,
CUURA300AA0,1985,M02,171.0,
CUURA300AA0,1985,M04,172.4,
CUURA300AA0,1985,M06,174.1,
CUURA300AA0,1985,M08,174.8,
CUURA300AA0,1985,M10,175.6,
CUURA300AA0,1985,M12,176.5,
CUURA300AA0,1985,M13,173.8,
CUURA300AA0,1986,M02,177.3,
CUURA300AA0,1986,M04,175.5,
CUURA300AA0,1986,M06,176.8,
CUURA300AA0,1986,M08,176.7,
CUURA300AA0,1986,M10,177.6,
CUURA300AA0,1986,M12,177.9,
CUURA300AA0,1986,M13,176.9,
CUURA300AA0,1987,M01,178.6,
CUURA300AA0,1987,M02,179.4,
CUURA300AA0,1987,M03,180.4,
CUURA300AA0,1987,M04,181.5,
CUURA300AA0,1987,M05,182.0,
CUURA300AA0,1987,M06,182.6,
CUURA300AA0,1987,M07,183.3,
CUURA300AA0,1987,M08,184.0,
CUURA300AA0,1987,M09,184.7,
CUURA300AA0,1987,M10,185.4,
CUURA300AA0,1987,M11,186.0,
CUURA300AA0,1987,M12,185.5,
CUURA300AA0,1987,M13,182.8,
CUURA300AA0,1988,M01,185.4,
CUURA300AA0,1988,M02,186.0,
CUURA300AA0,1988,M03,186.5,
CUURA300AA0,1988,M04,187.3,
CUURA300AA0,1988,M05,188.3,
CUURA300AA0,1988,M06,189.2,
CUURA300AA0,1988,M07,190.0,
CUURA300AA0,1988,M08,190.4,
CUURA300AA0,1988,M09,191.6,
CUURA300AA0,1988,M10,192.0,
CUURA300AA0,1988,M11,191.9,
CUURA300AA0,1988,M12,192.5,
CUURA300AA0,1988,M13,189.3,
CUURA300AA0,1989,M01,193.2,
CUURA300AA0,1989,M02,193.9,
CUURA300AA0,1989,M03,194.6,
CUURA300AA0,1989,M04,196.0,
CUURA300AA0,1989,M05,196.9,
CUURA300AA0,1989,M06,197.6,
CUURA300AA0,1989,M07,198.0,
CUURA300AA0,1989,M08,198.3,
CUURA300AA0,1989,M09,199.3,
CUURA300AA0,1989,M10,200.1,
CUURA300AA0,1989,M11,200.1,
CUURA300AA0,1989,M12,200.1,
CUURA300AA0,1989,M13,197.3,
CUURA300AA0,1990,M01,201.9,
CUURA300AA0,1990,M02,203.5,
CUURA300AA0,1990,M03,204.5,
CUURA300AA0,1990,M04,204.7,
CUURA300AA0,1990,M05,205.1,
CUURA300AA0,1990,M06,206.3,
CUURA300AA0,1990,M07,207.6,
CUURA300AA0,1990,M08,208.3,
CUURA300AA0,1990,M09,210.3,
CUURA300AA0,1990,M10,212.3,
CUURA300AA0,1990,M11,212.2,
CUURA300AA0,1990,M12,211.9,
CUURA300AA0,1990,M13,207.4,
CUURA300AA0,1991,M01,212.7,
CUURA300AA0,1991,M02,213.7,
CUURA300AA0,1991,M03,214.2,
CUURA300AA0,1991,M04,214.3,
CUURA300AA0,1991,M05,215.4,
CUURA300AA0,1991,M06,215.7,
CUURA300AA0,1991,M07,215.8,
CUURA300AA0,1991,M08,215.7,
CUURA300AA0,1991,M09,216.9,
CUURA300AA0,1991,M10,218.0,
CUURA300AA0,1991,M11,217.9,
CUURA300AA0,1991,M12,217.7,
CUURA300AA0,1991,M13,215.7,
CUURA300AA0,1992,M01,217.7,
CUURA300AA0,1992,M02,218.7,
CUURA300AA0,1992,M03,219.5,
CUURA300AA0,1992,M04,219.7,
CUURA300AA0,1992,M05,220.4,
CUURA300AA0,1992,M06,221.5,
CUURA300AA0,1992,M07,222.0,
CUURA300AA0,1992,M08,221.7,
CUURA300AA0,1992,M09,222.0,
CUURA300AA0,1992,M10,223.1,
CUURA300AA0,1992,M11,223.3,
CUURA300AA0,1992,M12,222.8,
CUURA300AA0,1992,M13,221.0,
CUURA300AA0,1993,M01,224.2,
CUURA300AA0,1993,M02,225.7,
CUURA300AA0,1993,M03,226.7,
CUURA300AA0,1993,M04,227.3,
CUURA300AA0,1993,M05,227.7,
CUURA300AA0,1993,M06,227.6,
CUURA300AA0,1993,M07,227.6,
CUURA300AA0,1993,M08,229.3,
CUURA300AA0,1993,M09,229.0,
CUURA300AA0,1993,M10,230.0,
CUURA300AA0,1993,M11,230.3,
CUURA300AA0,1993,M12,230.4,
CUURA300AA0,1993,M13,228.0,
CUURA300AA0,1994,M01,230.6,
CUURA300AA0,1994,M02,231.5,
CUURA300AA0,1994,M03,233.2,
CUURA300AA0,1994,M04,233.1,
CUURA300AA0,1994,M05,233.5,
CUURA300AA0,1994,M06,234.5,
CUURA300AA0,1994,M07,234.6,
CUURA300AA0,1994,M08,235.2,
CUURA300AA0,1994,M09,235.6,
CUURA300AA0,1994,M10,235.6,
CUURA300AA0,1994,M11,235.6,
CUURA300AA0,1994,M12,235.7,
CUURA300AA0,1994,M13,234.1,
CUURA300AA0,1995,M01,236.6,
CUURA300AA0,1995,M02,237.8,
CUURA300AA0,1995,M03,239.0,
CUURA300AA0,1995,M04,239.4,
CUURA300AA0,1995,M05,240.1,
CUURA300AA0,1995,M06,240.2,
CUURA300AA0,1995,M07,240.3,
CUURA300AA0,1995,M08,241.2,
CUURA300AA0,1995,M09,240.8,
CUURA300AA0,1995,M10,242.0,
CUURA300AA0,1995,M11,241.6,
CUURA300AA0,1995,M12,241.4,
CUURA300AA0,1995,M13,240.0,
CUURA300AA0,1996,M01,242.9,
CUURA300AA0,1996,M02,243.1,
CUURA300AA0,1996,M03,244.5,
CUURA300AA0,1996,M04,246.0,
CUURA300AA0,1996,M05,246.5,
CUURA300AA0,1996,M06,247.3,
CUURA300AA0,1996,M07,247.4,
CUURA300AA0,1996,M08,247.2,
CUURA300AA0,1996,M09,247.8,
CUURA300AA0,1996,M10,248.2,
CUURA300AA0,1996,M11,248.3,
CUURA300AA0,1996,M12,248.6,
CUURA300AA0,1996,M13,246.5,
CUURA300AA0,1997,M01,250.0,
CUURA300AA0,1997,M02,250.5,
CUURA300AA0,1997,M03,250.8,
CUURA300AA0,1997,M04,251.4,
CUURA300AA0,1997,M05,251.0,
CUURA300AA0,1997,M06,251.4,
CUURA300AA0,1997,M07,251.5,
CUURA300AA0,1997,M08,251.7,
CUURA300AA0,1997,M09,252.5,
CUURA300AA0,1997,M10,252.9,
CUURA300AA0,1997,M11,252.5,
CUURA300AA0,1997,M12,252.3,
CUURA300AA0,1997,M13,251.5,
CUURA300AA0,1998,M01,252.9,
CUURA300AA0,1998,M02,253.0,
CUURA300AA0,1998,M03,253.9,
CUURA300AA0,1998,M04,254.4,
CUURA300AA0,1998,M05,254.6,
CUURA300AA0,1998,M06,255.6,
CUURA300AA0,1998,M07,255.9,
CUURA300AA0,1998,M08,256.4,
CUURA300AA0,1998,M09,256.3,
CUURA300AA0,1998,M10,256.7,
CUURA300AA0,1998,M11,256.1,
CUURA300AA0,1998,M12,255.6,
CUURA300AA0,1998,M13,255.1,
CUURA300AA0,1999,M01,256.5,
CUURA300AA0,1999,M02,256.6,
CUURA300AA0,1999,M03,257.7,
CUURA300AA0,1999,M04,259.0,
CUURA300AA0,1999,M05,259.2,
CUURA300AA0,1999,M06,259.7,
CUURA300AA0,1999,M07,260.6,
CUURA300AA0,1999,M08,261.4,
CUURA300AA0,1999,M09,262.7,
CUURA300AA0,1999,M10,263.5,
CUURA300AA0,1999,M11,262.9,
CUURA300AA0,1999,M12,263.1,
CUURA300AA0,1999,M13,260.2,
CUURA300AA0,2000,M01,263.9,
CUURA300AA0,2000,M02,265.0,
CUURA300AA0,2000,M03,267.9,
CUURA300AA0,2000,M04,268.2,
CUURA300AA0,2000,M05,268.0,
CUURA300AA0,2000,M06,269.9,
CUURA300AA0,2000,M07,271.1,
CUURA300AA0,2000,M08,271.0,
CUURA300AA0,2000,M09,271.9,
CUURA300AA0,2000,M10,272.1,
CUURA300AA0,2000,M11,272.0,
CUURA300AA0,2000,M12,271.9,
CUURA300AA0,2000,M13,269.4,
CUURA300AA0,2001,M01,273.3,
CUURA300AA0,2001,M02,275.1,
CUURA300AA0,2001,M03,275.9,
CUURA300AA0,2001,M04,277.1,
CUURA300AA0,2001,M05,277.6,
CUURA300AA0,2001,M06,278.8,
CUURA300AA0,2001,M07,278.4,
CUURA300AA0,2001,M08,278.1,
CUURA300AA0,2001,M09,279.7,
CUURA300AA0,2001,M10,279.4,
CUURA300AA0,2001,M11,278.0,
CUURA300AA0,2001,M12,277.1,
CUURA300AA0,2001,M13,277.4,
CUURA300AA0,2002,M01,277.1,
CUURA300AA0,2002,M02,278.3,
CUURA300AA0,2002,M03,279.7,
CUURA300AA0,2002,M04,281.3,
CUURA300AA0,2002,M05,281.8,
CUURA300AA0,2002,M06,282.3,
CUURA300AA0,2002,M07,282.2,
CUURA300AA0,2002,M08,283.1,
CUURA300AA0,2002,M09,283.6,
CUURA300AA0,2002,M10,284.9,
CUURA300AA0,2002,M11,284.3,
CUURA300AA0,2002,M12,283.9,
CUURA300AA0,2002,M13,281.9,
CUURA300AA0,2003,M01,285.3,
CUURA300AA0,2003,M02,287.8,
CUURA300AA0,2003,M03,289.1,
CUURA300AA0,2003,M04,288.8,
CUURA300AA0,2003,M05,288.2,
CUURA300AA0,2003,M06,289.0,
CUURA300AA0,2003,M07,289.1,
CUURA300AA0,2003,M08,290.3,
CUURA300AA0,2003,M09,290.8,
CUURA300AA0,2003,M10,290.8,
CUURA300AA0,2003,M11,289.2,
CUURA300AA0,2003,M12,289.2,
CUURA300AA0,2003,M13,289.0,
CUURA300AA0,2004,M01,290.2,
CUURA300AA0,2004,M02,291.8,
CUURA300AA0,2004,M03,293.4,
CUURA300AA0,2004,M04,294.7,
CUURA300AA0,2004,M05,296.1,
CUURA300AA0,2004,M06,297.5,
CUURA300AA0,2004,M07,296.5,
